Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000265861, 0.000158385, 0.000106131, 2.691e-06, 593, 1789, 11
0.000579774, 0.000300778, 0.000277666, 8.076e-06, 583, 1724, 10
0.000294032, 0.000169205, 0.000123091, 2.153e-06, 567, 1815, 7
0.000216659, 0.000127586, 8.723e-05, 2.972e-06, 578, 1702, 10
0.000578584, 0.000307009, 0.000267573, 6.635e-06, 581, 1912, 12
0.000307722, 0.000182437, 0.000123671, 2.846e-06, 599, 1760, 11
0.000518991, 0.000282386, 0.000235676, 5.628e-06, 594, 1863, 8
0.00018603, 0.000109279, 7.5875e-05, 2.273e-06, 571, 1714, 11
0.000303214, 0.000207084, 9.4615e-05, 2.131e-06, 595, 1666, 5
0.000248001, 0.000158974, 8.7949e-05, 2.07e-06, 576, 1556, 3
0.00020059, 0.000126412, 7.3146e-05, 2.559e-06, 587, 1536, 10
0.00033844, 0.000175845, 0.000161357, 6.9955e-05, 581, 1677, 13
0.000232359, 0.00013471, 9.6682e-05, 5.207e-06, 570, 1739, 22
0.000242246, 0.000133672, 0.000106672, 3.84e-06, 561, 1631, 19
0.00028339, 0.000166013, 0.000116579, 3.156e-06, 596, 1719, 15
0.000301721, 0.000167941, 0.000132325, 4.068e-06, 608, 1595, 18
0.000175364, 9.8326e-05, 7.5999e-05, 3.271e-06, 611, 1792, 18
0.000434402, 0.000206558, 0.000225991, 7.685e-06, 618, 1906, 32
0.000278012, 0.000161692, 0.000115171, 5.375e-06, 602, 1711, 22
0.00020701, 0.000109779, 9.6481e-05, 6.164e-06, 590, 1777, 29
0.001741, 0.00079634, 0.000935277, 4.2444e-05, 590, 1764, 31
0.000413423, 0.000202991, 0.0002091, 7.832e-06, 576, 1812, 26
0.000312614, 0.000175846, 0.000134778, 5.135e-06, 608, 1517, 20
0.000286946, 0.00015401, 0.000131976, 9.181e-06, 590, 1510, 19
0.00026814, 0.000145861, 0.000121097, 3.902e-06, 580, 1516, 20
0.000290927, 0.000164904, 0.000124489, 4.733e-06, 591, 1627, 22
0.0282192, 0.000155484, 0.000116265, 6.164e-06, 587, 1686, 24
0.000288336, 0.000152832, 0.000133927, 5.653e-06, 567, 1535, 23
0.000262245, 0.000137522, 0.000123369, 5.033e-06, 538, 1278, 21
0.000425589, 0.000244643, 0.000178507, 5.879e-06, 548, 1357, 22
0.000682933, 0.000268674, 0.000411502, 2.2486e-05, 538, 1420, 24
0.000560205, 0.000294464, 0.000264553, 1.0609e-05, 521, 1150, 21
0.000552455, 0.000285157, 0.000261776, 2.4228e-05, 513, 1237, 24
0.000358242, 0.000162219, 0.000194192, 7.964e-06, 528, 1237, 25
0.000259682, 0.000134319, 0.00012459, 6.107e-06, 530, 1387, 24
0.000279778, 0.000157359, 0.00012079, 5.163e-06, 526, 1336, 23
0.000246931, 0.000141024, 0.000104859, 3.897e-06, 517, 1347, 17
0.000317021, 0.000145957, 0.000168747, 1.0028e-05, 531, 1585, 27
0.000491945, 0.000293899, 0.00019364, 1.0708e-05, 509, 1312, 14
0.000587231, 0.000317938, 0.000265154, 1.2325e-05, 536, 1443, 22
0.000675107, 0.00057602, 9.5837e-05, 6.164e-06, 498, 1336, 18
0.000427296, 0.00014082, 0.000285581, 1.7137e-05, 466, 1115, 20
0.0302458, 0.000100591, 8.1681e-05, 5.207e-06, 495, 1216, 20
0.000257485, 0.000138843, 0.00011703, 5.351e-06, 484, 1243, 24
0.000218993, 0.000124234, 9.3658e-05, 3.499e-06, 498, 1104, 18
0.000599837, 0.000291564, 0.000304487, 1.1145e-05, 509, 1075, 15
0.000405486, 0.000209239, 0.000193718, 8.775e-06, 504, 935, 15
0.000169294, 0.000104698, 6.3015e-05, 2.468e-06, 492, 729, 8
0.000116922, 7.013e-05, 4.6003e-05, 1.871e-06, 511, 715, 7
0.000166603, 0.000106569, 5.8749e-05, 1.964e-06, 499, 701, 8
0.000180507, 0.000111525, 6.7742e-05, 2.868e-06, 511, 779, 13
0.000162818, 0.000104308, 5.7468e-05, 2.049e-06, 495, 707, 8
0.000260354, 0.000139777, 0.00011608, 6.88e-06, 503, 812, 16
0.00019713, 0.000118572, 7.6923e-05, 9.069e-06, 474, 677, 14
